name,description
Fantasy,"Stories with magic, mythical creatures and imaginary worlds."
Science Fiction,"Stories about future technology, space, robots and science."
Krimi,"Crime stories about investigations, detectives and murder cases."
Thriller,"Suspenseful stories with danger, tension and fast action."
Horror,"Scary stories with fear, monsters, ghosts or dark events."
Romance,"Stories focused on love, relationships and emotions."
Adventure,"Stories about journeys, exploration and exciting events."
Historical Fiction,"Stories set in the past with historical background."
Biography,"Books about the life of a real person."
Politics,"Books about government, society, power and public affairs."
Philosophy,"Books about ideas, thinking, ethics and the meaning of life."
Psychology,"Books about human behavior, mind, emotions and personality."
Business,"Books about companies, money, management and entrepreneurship."
Technology,"Books about computers, engineering, programming and inventions."
Science,"Books about nature, physics, biology, chemistry and research."
Art,"Books about painting, design, architecture, music and culture."
Travel,"Books about countries, places, journeys and tourism."
Education,"Books for learning, school, teaching and studying."
Children,"Books written for children and young readers."
Comics,"Books with illustrated stories, graphic novels and comic strips."
Detektiv,"Detective stories about solving mysteries and finding criminals."
Drama,"Stories focused on serious conflicts, emotions and personal problems."
Poetry,"Books with poems, verses, rhythm and expressive language."
Classics,"Important older books that are widely known and studied."
Young Adult,"Books for teenagers and young adult readers."
Religion,"Books about faith, beliefs, theology and spiritual life."
Sports,"Books about sport, athletes, training and competitions."
Nature,"Books about animals, plants, environment and natural places."
Cooking,"Books about recipes, food, baking and cooking methods."
Health,"Books about medicine, fitness, nutrition and healthy living."
